"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"450651","MEDICAL CENTER OF PLANO","3901 W 15TH ST","","","PLANO","TX","75075","COLLIN","9725966800","15.4","No Different than U.S. National Rate","12.2","19.4","142","","12.2","No Different than U.S. National Rate","9.9","15.0","308","","13.8","No Different than U.S. National Rate","11.0","16.9","282","","20.3","No Different than U.S. National Rate","16.5","24.4","135","","25.8","No Different than U.S. National Rate","22.5","29.4","374","","18.0","No Different than U.S. National Rate","14.8","21.5","291",""
"450653","SCENIC MOUNTAIN MEDICAL CENTER","1601 W 11TH PLACE","","","BIG SPRING","TX","79720","HOWARD","4322631211","16.8","No Different than U.S. National Rate","12.4","22.5","38","","15.5","Worse than U.S. National Rate","11.8","20.0","147","","13.9","No Different than U.S. National Rate","10.6","17.7","150","","20.5","No Different than U.S. National Rate","16.4","25.2","30","","26.5","No Different than U.S. National Rate","22.3","31.2","155","","17.2","No Different than U.S. National Rate","13.7","21.3","152",""
"450654","STARR COUNTY MEMORIAL HOSPITAL","128  N FM RD 3167","","","RIO GRANDE CITY","TX","78582","STARR","9564875561","15.2","No Different than U.S. National Rate","11.7","19.3","60","","10.1","No Different than U.S. National Rate","7.3","13.7","89","","11.5","No Different than U.S. National Rate","9.0","14.5","327","","21.4","No Different than U.S. National Rate","17.4","25.7","57","","25.1","No Different than U.S. National Rate","21.1","29.5","107","","20.1","No Different than U.S. National Rate","17.1","23.4","357",""
"450656","NACOGDOCHES MEDICAL CENTER","4920 NE STALLINGS DRIVE","","","NACOGDOCHES","TX","75961","NACOGDOCHES","9365699481","16.3","No Different than U.S. National Rate","12.6","21.3","101","","14.5","No Different than U.S. National Rate","11.1","18.9","185","","12.1","No Different than U.S. National Rate","9.3","15.5","225","","19.7","No Different than U.S. National Rate","15.8","24.1","94","","26.3","No Different than U.S. National Rate","22.2","30.8","213","","18.1","No Different than U.S. National Rate","14.8","21.9","232",""
"450658","EAST TEXAS MEDICAL CENTER - FAIRFIELD","125 NEWMAN ST","","","FAIRFIELD","TX","75840","FREESTONE","9033891612","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.6","No Different than U.S. National Rate","7.6","14.4","106","","10.5","No Different than U.S. National Rate","7.6","14.2","98","","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.6","No Different than U.S. National Rate","22.2","31.7","129","","16.9","No Different than U.S. National Rate","13.6","20.9","108",""
"450659","PARK PLAZA HOSPITAL","1313 HERMANN DR","","","HOUSTON","TX","77004","HARRIS","7135275019","14.4","No Different than U.S. National Rate","11.2","18.0","63","","9.9","No Different than U.S. National Rate","7.4","12.8","193","","9.0","No Different than U.S. National Rate","6.6","12.2","118","","19.0","No Different than U.S. National Rate","15.4","23.0","64","","22.0","No Different than U.S. National Rate","18.6","25.7","221","","17.6","No Different than U.S. National Rate","14.2","21.3","122",""
"450661","ODESSA REGIONAL HOSPITAL","520 E 6TH STREET","","","ODESSA","TX","79761","ECTOR","4325828340","18.0","No Different than U.S. National Rate","13.7","23.3","87","","12.6","No Different than U.S. National Rate","9.3","17.4","171","","13.4","No Different than U.S. National Rate","9.7","18.6","112","","18.7","No Different than U.S. National Rate","15.0","23.5","93","","27.0","No Different than U.S. National Rate","22.8","31.8","209","","18.3","No Different than U.S. National Rate","14.5","22.8","125",""
"450662","VALLEY REGIONAL MEDICAL CENTER","100 A ALTON GLOOR","","","BROWNSVILLE","TX","78526","CAMERON","9563507000","16.7","No Different than U.S. National Rate","13.1","20.8","140","","9.0","No Different than U.S. National Rate","6.7","11.7","219","","10.8","No Different than U.S. National Rate","8.6","13.4","332","","18.5","No Different than U.S. National Rate","15.0","22.6","125","","29.5","Worse than U.S. National Rate","25.9","33.6","273","","18.3","No Different than U.S. National Rate","15.5","21.4","359",""
"450668","SIERRA MEDICAL CENTER","1625 MEDICAL CENTER DR","","","EL PASO","TX","79902","EL PASO","9157474000","16.5","No Different than U.S. National Rate","13.2","20.7","167","","13.3","No Different than U.S. National Rate","10.7","16.3","378","","11.9","No Different than U.S. National Rate","9.6","14.7","368","","19.0","No Different than U.S. National Rate","15.5","22.9","158","","24.4","No Different than U.S. National Rate","21.4","27.8","450","","19.0","No Different than U.S. National Rate","16.0","22.2","362",""
"450669","MEDICAL CENTER OF LEWISVILLE","500 WEST MAIN STREET","","","LEWISVILLE","TX","75057","DENTON","9724201000","16.2","No Different than U.S. National Rate","12.3","21.0","54","","10.8","No Different than U.S. National Rate","8.3","14.0","215","","11.6","No Different than U.S. National Rate","8.8","15.1","214","","22.0","No Different than U.S. National Rate","17.6","27.0","39","","25.4","No Different than U.S. National Rate","21.8","29.3","264","","20.0","No Different than U.S. National Rate","16.7","23.7","238",""
"45066F","DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM)","4500 S. LANCASTER ROAD","","","DALLAS                        ","TX","75216","DALLAS","2147428387","13.3","No Different than U.S. National Rate","10.3","16.8","222","","10.9","No Different than U.S. National Rate","9.0","13.3","688","","12.9","No Different than U.S. National Rate","10.4","15.8","397","","21.5","No Different than U.S. National Rate","17.9","25.5","240","","27.4","Worse than U.S. National Rate","24.8","30.1","1000","","24.3","Worse than U.S. National Rate","20.6","27.8","459",""
"450670","TOMBALL REGIONAL MEDICAL CENTER","605 HOLDERRIETH","","","TOMBALL","TX","77375","HARRIS","2813511623","15.5","No Different than U.S. National Rate","12.4","19.0","190","","8.5","Better than U.S. National Rate","6.8","10.3","493","","8.7","Better than U.S. National Rate","7.0","10.6","515","","20.0","No Different than U.S. National Rate","16.5","23.8","177","","22.0","No Different than U.S. National Rate","19.4","24.9","583","","16.0","No Different than U.S. National Rate","13.8","18.6","539",""
"450672","PLAZA MEDICAL CENTER OF FORT WORTH","900 EIGHTH AVENUE","","","FORT WORTH","TX","76104","TARRANT","8173362100","17.1","No Different than U.S. National Rate","13.9","21.1","255","","11.7","No Different than U.S. National Rate","9.3","14.5","370","","10.6","No Different than U.S. National Rate","8.2","13.4","271","","20.6","No Different than U.S. National Rate","17.5","24.1","338","","24.1","No Different than U.S. National Rate","21.1","27.4","474","","19.8","No Different than U.S. National Rate","16.9","23.3","286",""
"450674","WOMANS HOSPITAL OF TEXAS,THE","7600 FANNIN","","","HOUSTON","TX","77054","HARRIS","7137901234","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure"
"450675","MEDICAL CENTER OF ARLINGTON","3301 MATLOCK ROAD","","","ARLINGTON","TX","76015","TARRANT","8174653241","17.6","No Different than U.S. National Rate","14.2","21.5","219","","11.8","No Different than U.S. National Rate","9.4","14.4","349","","11.9","No Different than U.S. National Rate","9.5","14.8","274","","21.3","No Different than U.S. National Rate","17.6","25.1","201","","24.0","No Different than U.S. National Rate","20.9","27.2","396","","20.0","No Different than U.S. National Rate","16.8","23.4","276",""
"450677","HUGULEY HEALTH SYSTEM","11801 SOUTH FREEWAY","","","FORT WORTH","TX","76115","TARRANT","8172939110","14.3","No Different than U.S. National Rate","11.3","17.6","202","","11.2","No Different than U.S. National Rate","8.9","14.0","354","","10.3","No Different than U.S. National Rate","8.0","13.1","343","","17.0","No Different than U.S. National Rate","14.1","20.8","208","","25.4","No Different than U.S. National Rate","22.1","28.7","433","","18.8","No Different than U.S. National Rate","15.9","21.8","369",""
"450678","DOCTORS HOSPITAL","9440 POPPY DR","","","DALLAS","TX","75218","DALLAS","2143246100","14.8","No Different than U.S. National Rate","11.7","18.4","133","","10.6","No Different than U.S. National Rate","8.4","13.3","355","","10.8","No Different than U.S. National Rate","8.5","13.6","302","","18.4","No Different than U.S. National Rate","14.9","22.5","133","","24.8","No Different than U.S. National Rate","21.7","28.3","429","","15.6","No Different than U.S. National Rate","12.9","18.8","314",""
"450683","RENAISSANCE HOSPITAL TERRELL","1551 HWY 34 S","","","TERRELL","TX","75160","KAUFMAN","9725637611","15.3","No Different than U.S. National Rate","11.8","19.7","30","","10.8","No Different than U.S. National Rate","8.0","14.4","146","","15.3","No Different than U.S. National Rate","11.5","20.0","84","","20.1","No Different than U.S. National Rate","15.9","24.9","29","","23.8","No Different than U.S. National Rate","19.8","28.4","164","","19.1","No Different than U.S. National Rate","15.4","23.4","86",""
"450684","MEMORIAL HERMANN NORTHEAST","18951 MEMORIAL NORTH","","","HUMBLE","TX","77338","HARRIS","2815407700","16.6","No Different than U.S. National Rate","13.4","20.4","177","","11.9","No Different than U.S. National Rate","9.4","14.9","353","","11.8","No Different than U.S. National Rate","9.4","14.7","305","","18.8","No Different than U.S. National Rate","15.2","22.7","139","","25.5","No Different than U.S. National Rate","22.5","28.9","435","","16.7","No Different than U.S. National Rate","13.9","20.0","310",""
"450686","UNIVERSITY MEDICAL CENTER","602 INDIANA AVENUE","","","LUBBOCK","TX","79415","LUBBOCK","8067758200","18.7","No Different than U.S. National Rate","15.2","22.7","228","","10.3","No Different than U.S. National Rate","8.2","12.9","438","","9.6","No Different than U.S. National Rate","7.5","12.1","352","","20.9","No Different than U.S. National Rate","17.5","24.9","211","","25.4","No Different than U.S. National Rate","22.6","28.6","576","","20.3","No Different than U.S. National Rate","17.3","23.7","383",""
"450688","DALLAS REGIONAL MEDICAL CENTER","1011 NORTH GALLOWAY AVENUE","","","MESQUITE","TX","75149","DALLAS","2143207000","18.1","No Different than U.S. National Rate","14.3","22.8","148","","9.3","No Different than U.S. National Rate","6.9","12.2","269","","12.9","No Different than U.S. National Rate","9.5","17.4","98","","22.3","No Different than U.S. National Rate","18.5","26.7","142","","26.4","No Different than U.S. National Rate","23.0","30.2","353","","21.0","No Different than U.S. National Rate","16.9","25.4","106",""
"450690","UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER","11937 US HIGHWAY 271","","","TYLER","TX","75708","SMITH","9038777777","15.6","No Different than U.S. National Rate","11.9","20.2","55","","9.6","No Different than U.S. National Rate","7.0","12.9","152","","7.3","Better than U.S. National Rate","5.2","10.1","238","","20.0","No Different than U.S. National Rate","15.9","24.8","55","","24.0","No Different than U.S. National Rate","20.4","28.0","207","","17.4","No Different than U.S. National Rate","14.5","20.8","281",""
"450694","EL CAMPO MEMORIAL HOSPITAL","303 SANDY CORNER RD","","","EL CAMPO","TX","77437","WHARTON","9795785251","15.9","No Different than U.S. National Rate","12.4","20.4","26","","10.1","No Different than U.S. National Rate","7.3","13.4","76","","10.1","No Different than U.S. National Rate","7.6","13.2","111","","Not Available","Number of Cases Too Small","Not Available","Not Available","16","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.4","No Different than U.S. National Rate","22.1","31.1","115","","17.3","No Different than U.S. National Rate","13.8","21.3","125",""
"450697","SOUTHWEST GENERAL HOSPITAL","7400 BARLITE BLVD","","","SAN ANTONIO","TX","78224","BEXAR","2109212000","15.5","No Different than U.S. National Rate","11.6","19.8","66","","9.9","No Different than U.S. National Rate","7.6","12.8","200","","10.3","No Different than U.S. National Rate","7.4","14.2","126","","18.8","No Different than U.S. National Rate","14.9","23.3","56","","24.9","No Different than U.S. National Rate","21.5","28.5","265","","17.7","No Different than U.S. National Rate","14.4","21.3","132",""
"450698","LAMB HEALTHCARE CENTER","1500 S SUNSET","","","LITTLEFIELD","TX","79339","LAMB","8063856411","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.8","No Different than U.S. National Rate","7.4","15.0","31","","12.9","No Different than U.S. National Rate","9.2","17.8","78","","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.7","No Different than U.S. National Rate","19.7","30.3","31","","17.3","No Different than U.S. National Rate","13.5","21.6","92",""
"450702","LONGVIEW REGIONAL MEDICAL CENTER","2901 N FOURTH ST","","","LONGVIEW","TX","75605","GREGG","9037581818","15.8","No Different than U.S. National Rate","12.0","20.4","74","","11.7","No Different than U.S. National Rate","8.9","15.5","156","","10.8","No Different than U.S. National Rate","8.1","14.3","182","","19.6","No Different than U.S. National Rate","15.4","24.6","70","","25.5","No Different than U.S. National Rate","21.6","29.9","203","","16.1","No Different than U.S. National Rate","13.1","19.8","190",""
"450709","CHRISTUS ST JOHN HOSPITAL","18300 ST JOHN DRIVE","","","NASSAU BAY","TX","77058","HARRIS","2813335503","15.2","No Different than U.S. National Rate","11.5","19.8","76","","10.6","No Different than U.S. National Rate","7.8","14.1","127","","14.5","No Different than U.S. National Rate","11.3","18.6","192","","21.5","No Different than U.S. National Rate","17.2","26.4","69","","25.5","No Different than U.S. National Rate","21.2","30.1","155","","17.9","No Different than U.S. National Rate","14.7","21.6","191",""
"450711","RIO GRANDE REGIONAL HOSPITAL","101 E RIDGE RD","","","MCALLEN","TX","78503","HIDALGO","9566326000","14.3","No Different than U.S. National Rate","11.3","17.6","176","","9.3","Better than U.S. National Rate","7.8","11.2","707","","10.8","No Different than U.S. National Rate","9.0","12.9","522","","21.7","No Different than U.S. National Rate","18.1","25.7","173","","23.1","No Different than U.S. National Rate","20.9","25.5","831","","15.3","Better than U.S. National Rate","13.1","18.0","525",""
"450713","ST DAVID'S SOUTH AUSTIN MEDICAL CENTER","901 WEST BEN WHITE BLVD","","","AUSTIN","TX","78704","TRAVIS","5124487107","14.9","No Different than U.S. National Rate","12.3","18.0","374","","12.2","No Different than U.S. National Rate","10.1","14.9","510","","15.1","Worse than U.S. National Rate","12.4","18.1","454","","22.0","No Different than U.S. National Rate","18.7","25.5","368","","23.7","No Different than U.S. National Rate","21.1","26.7","617","","18.0","No Different than U.S. National Rate","15.4","21.0","442",""
"450716","CYPRESS FAIRBANKS MEDICAL CENTER","10655 STEEPLETOP DRIVE","","","HOUSTON","TX","77065","HARRIS","2818973100","12.0","No Different than U.S. National Rate","9.1","15.5","106","","8.7","No Different than U.S. National Rate","6.3","11.8","128","","10.9","No Different than U.S. National Rate","8.2","14.4","174","","18.7","No Different than U.S. National Rate","15.1","22.9","102","","23.3","No Different than U.S. National Rate","19.6","27.3","152","","18.8","No Different than U.S. National Rate","15.4","22.4","184",""
"450718","ROUND ROCK MEDICAL CENTER","2400 ROUND ROCK AVE","","","ROUND ROCK","TX","78681","WILLIAMSON","5123411000","16.1","No Different than U.S. National Rate","12.7","20.1","183","","10.8","No Different than U.S. National Rate","8.5","13.6","251","","11.8","No Different than U.S. National Rate","9.2","15.1","236","","18.1","No Different than U.S. National Rate","14.8","22.2","192","","24.5","No Different than U.S. National Rate","21.0","28.2","291","","16.9","No Different than U.S. National Rate","13.9","20.3","254",""
"450723","METHODIST CHARLTON MEDICAL CENTER","3500 W WHEATLAND ROAD","","","DALLAS","TX","75237","DALLAS","2149477777","17.7","No Different than U.S. National Rate","14.4","21.5","156","","11.8","No Different than U.S. National Rate","9.6","14.5","434","","12.9","No Different than U.S. National Rate","10.5","15.8","343","","21.0","No Different than U.S. National Rate","17.5","25.1","139","","22.1","No Different than U.S. National Rate","19.4","25.1","544","","16.9","No Different than U.S. National Rate","14.2","19.9","368",""
"450730","BAYLOR MEDICAL CENTER AT CARROLLTON","4343 NORTH JOSEY LANE","","","CARROLLTON","TX","75010","DENTON","9724921010","15.2","No Different than U.S. National Rate","11.8","19.1","73","","12.5","No Different than U.S. National Rate","9.5","16.4","132","","10.9","No Different than U.S. National Rate","8.0","14.6","124","","21.0","No Different than U.S. National Rate","16.9","25.8","60","","24.4","No Different than U.S. National Rate","20.6","28.7","158","","17.4","No Different than U.S. National Rate","14.2","21.3","135",""
"450742","LAKE POINTE MEDICAL CENTER","6800 SCENIC DR","","","ROWLETT","TX","75088","DALLAS","9724122273","16.6","No Different than U.S. National Rate","12.9","20.9","68","","14.1","No Different than U.S. National Rate","10.8","18.2","184","","16.2","Worse than U.S. National Rate","13.1","20.0","260","","19.7","No Different than U.S. National Rate","15.9","24.3","56","","23.2","No Different than U.S. National Rate","19.7","27.4","215","","19.4","No Different than U.S. National Rate","16.2","23.0","270",""
"450743","TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON","3000 N I-35","","","DENTON","TX","76201","DENTON","9408987000","15.6","No Different than U.S. National Rate","12.1","19.6","127","","10.7","No Different than U.S. National Rate","8.4","13.7","250","","11.3","No Different than U.S. National Rate","9.1","13.9","436","","21.9","No Different than U.S. National Rate","18.0","26.2","130","","24.2","No Different than U.S. National Rate","20.8","27.8","312","","19.8","No Different than U.S. National Rate","17.2","23.0","454",""
"450746","KNOX COUNTY HOSPITAL","701 SE 5TH STREET","","","KNOX CITY","TX","79529","KNOX","9406573535","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","15","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.2","No Different than U.S. National Rate","7.4","16.6","25","","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","17.4","No Different than U.S. National Rate","13.4","22.5","25",""
"450747","PALESTINE REGIONAL MEDICAL CENTER","2900 S LOOP 256","","","PALESTINE","TX","75801","ANDERSON","9037311000","17.2","No Different than U.S. National Rate","13.6","21.2","61","","12.0","No Different than U.S. National Rate","9.1","15.9","148","","12.9","No Different than U.S. National Rate","10.2","16.1","258","","18.6","No Different than U.S. National Rate","14.6","23.3","38","","23.8","No Different than U.S. National Rate","20.0","28.0","170","","19.2","No Different than U.S. National Rate","15.9","23.1","258",""
"450749","EAST TEXAS MEDICAL CENTER TRINITY","317 PROSPECT DR/PO BOX 3169","","","TRINITY","TX","75862","TRINITY","9365943541","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.5","No Different than U.S. National Rate","7.3","14.7","46","","11.3","No Different than U.S. National Rate","8.1","15.7","58","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.4","No Different than U.S. National Rate","21.8","31.5","59","","18.9","No Different than U.S. National Rate","14.9","23.5","62",""
"45074F","HOUSTON VA MEDICAL CENTER","2002 HOLCOMBE BLVD.","","","HOUSTON                       ","TX","77030","HARRIS","7137947100","13.6","No Different than U.S. National Rate","10.6","17.4","178","","9.7","No Different than U.S. National Rate","7.8","12.0","658","","14.0","No Different than U.S. National Rate","11.4","17.1","432","","24.1","Worse than U.S. National Rate","19.9","28.7","187","","26.2","No Different than U.S. National Rate","23.5","29.1","880","","25.6","Worse than U.S. National Rate","21.8","29.3","463",""
"450754","HAMILTON GENERAL HOSPITAL","400 N BROWN","","","HAMILTON","TX","76531","HAMILTON","2543863151","16.1","No Different than U.S. National Rate","12.4","20.2","31","","9.2","No Different than U.S. National Rate","6.7","12.2","168","","9.4","No Different than U.S. National Rate","6.8","13.0","159","","Not Available","Number of Cases Too Small","Not Available","Not Available","21","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.7","No Different than U.S. National Rate","21.9","30.1","207","","18.8","No Different than U.S. National Rate","15.4","22.7","173",""
"450755","COVENANT HOSPITAL LEVELLAND","1900 COLLEGE AVE","","","LEVELLAND","TX","79336","HOCKLEY","8068944963","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.5","No Different than U.S. National Rate","8.3","15.9","58","","11.2","No Different than U.S. National Rate","8.1","15.4","90","","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.0","No Different than U.S. National Rate","18.8","28.0","71","","19.0","No Different than U.S. National Rate","15.1","23.5","101",""
"450766","UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY","5151 HARRY HINES BLVD","","","DALLAS","TX","75390","DALLAS","2148793758","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"450770","CENTRAL TEXAS HOSPITAL","806 N CROCKETT","","","CAMERON","TX","76520","MILAM","2546976591","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"450771","TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO","6200 W PARKER RD","","","PLANO","TX","75093","COLLIN","9729818000","14.5","No Different than U.S. National Rate","11.5","18.3","127","","11.6","No Different than U.S. National Rate","9.1","14.3","270","","10.0","No Different than U.S. National Rate","7.8","12.7","295","","20.8","No Different than U.S. National Rate","17.0","25.3","126","","24.7","No Different than U.S. National Rate","21.3","28.3","323","","18.2","No Different than U.S. National Rate","15.5","21.5","311",""
"450774","TOPS SURGICAL SPECIALTY HOSPITAL","17080 RED OAK DRIVE","","","HOUSTON","TX","77090","HARRIS","2815392900","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure"
"450775","KINGWOOD MEDICAL CENTER","22999 US HWY 59","","","KINGWOOD","TX","77325","HARRIS","2813597500","15.5","No Different than U.S. National Rate","12.3","19.5","170","","10.4","No Different than U.S. National Rate","8.2","13.3","374","","12.2","No Different than U.S. National Rate","9.5","15.8","274","","19.7","No Different than U.S. National Rate","16.4","23.6","166","","25.6","No Different than U.S. National Rate","22.5","28.9","436","","17.5","No Different than U.S. National Rate","14.6","20.7","287",""
"450779","TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F","6100 HARRIS PKWY","","","FORT WORTH","TX","76132","TARRANT","8174335000","14.7","No Different than U.S. National Rate","11.2","18.8","79","","10.4","No Different than U.S. National Rate","8.1","12.9","334","","11.2","No Different than U.S. National Rate","8.8","14.0","321","","19.7","No Different than U.S. National Rate","15.8","24.4","59","","22.7","No Different than U.S. National Rate","19.5","26.2","378","","17.2","No Different than U.S. National Rate","14.3","20.6","338",""
"450780","METHODIST AMBULATORY SURGERY HOSPITAL NW","9150 HUEBNER RD SUITE 100","","","SAN ANTONIO","TX","78240","BEXAR","2106918000","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure"
"450788","CORPUS CHRISTI MEDICAL CENTER,THE","7101 S PADRE ISLAND DR","","","CORPUS CHRISTI","TX","78412","NUECES","3617611501","16.2","No Different than U.S. National Rate","13.3","19.6","256","","10.5","No Different than U.S. National Rate","8.5","12.7","529","","11.6","No Different than U.S. National Rate","9.4","14.1","496","","22.0","No Different than U.S. National Rate","18.4","25.7","259","","22.5","No Different than U.S. National Rate","19.9","25.3","667","","18.6","No Different than U.S. National Rate","16.0","21.4","534",""
